Time (s),Cars,Trucks,Buses,Total Vehicles,Green Light (s),Red Light (s),Current Phase,Emergency Detected,timestamp,vehicle,count,emergency
0.94,11.0,1.0,1.0,13.0,18.0,34.0,GREEN,NO,,,,
1.17,11.0,1.0,1.0,13.0,18.0,37.0,GREEN,NO,,,,
1.29,10.0,1.0,1.0,12.0,17.0,25.0,GREEN,NO,,,,
1.39,13.0,1.0,1.0,15.0,19.0,32.0,GREEN,NO,,,,
1.48,12.0,1.0,1.0,14.0,18.0,33.0,GREEN,NO,,,,
1.58,12.0,1.0,1.0,14.0,18.0,28.0,GREEN,NO,,,,
1.67,12.0,1.0,1.0,14.0,18.0,15.0,GREEN,NO,,,,
1.75,13.0,1.0,1.0,15.0,19.0,27.0,GREEN,NO,,,,
1.85,13.0,2.0,1.0,16.0,20.0,34.0,GREEN,YES,,,,
1.94,10.0,1.0,1.0,12.0,17.0,39.0,GREEN,NO,,,,
2.03,11.0,0.0,1.0,12.0,17.0,20.0,GREEN,NO,,,,
2.11,11.0,0.0,1.0,12.0,17.0,32.0,GREEN,NO,,,,
2.2,13.0,0.0,1.0,14.0,18.0,15.0,GREEN,NO,,,,
2.28,12.0,0.0,1.0,13.0,17.0,18.0,GREEN,NO,,,,
2.36,12.0,0.0,1.0,13.0,17.0,33.0,GREEN,NO,,,,
2.45,12.0,0.0,0.0,12.0,16.0,37.0,GREEN,NO,,,,
2.53,12.0,0.0,0.0,12.0,16.0,39.0,GREEN,NO,,,,
2.61,14.0,0.0,1.0,15.0,18.0,25.0,GREEN,NO,,,,
2.69,14.0,0.0,1.0,15.0,18.0,37.0,GREEN,NO,,,,
2.78,14.0,0.0,1.0,15.0,18.0,26.0,GREEN,NO,,,,
2.86,14.0,1.0,1.0,16.0,19.0,30.0,GREEN,NO,,,,
2.95,13.0,1.0,1.0,15.0,19.0,15.0,GREEN,NO,,,,
3.03,12.0,1.0,1.0,14.0,18.0,33.0,GREEN,NO,,,,
3.11,13.0,1.0,1.0,15.0,19.0,36.0,GREEN,NO,,,,
3.19,13.0,1.0,1.0,15.0,19.0,25.0,GREEN,NO,,,,
3.28,13.0,1.0,1.0,15.0,19.0,26.0,GREEN,NO,,,,
3.36,13.0,1.0,1.0,15.0,19.0,35.0,GREEN,NO,,,,
3.44,14.0,1.0,1.0,16.0,19.0,25.0,GREEN,NO,,,,
3.52,12.0,0.0,1.0,13.0,17.0,39.0,GREEN,NO,,,,
3.61,12.0,0.0,1.0,13.0,17.0,24.0,GREEN,NO,,,,
3.69,12.0,0.0,1.0,13.0,17.0,18.0,GREEN,NO,,,,
3.77,12.0,0.0,1.0,13.0,17.0,32.0,GREEN,NO,,,,
3.85,12.0,0.0,1.0,13.0,17.0,32.0,GREEN,NO,,,,
3.94,13.0,0.0,1.0,14.0,18.0,28.0,GREEN,NO,,,,
4.02,12.0,0.0,0.0,12.0,16.0,30.0,GREEN,NO,,,,
4.1,13.0,1.0,1.0,15.0,19.0,33.0,GREEN,NO,,,,
4.18,10.0,1.0,0.0,11.0,16.0,34.0,GREEN,NO,,,,
4.26,11.0,1.0,0.0,12.0,16.0,36.0,GREEN,NO,,,,
4.35,13.0,1.0,0.0,14.0,17.0,20.0,GREEN,NO,,,,
4.43,12.0,1.0,0.0,13.0,17.0,16.0,GREEN,NO,,,,
4.51,13.0,1.0,0.0,14.0,17.0,25.0,GREEN,NO,,,,
4.59,12.0,1.0,0.0,13.0,17.0,34.0,GREEN,NO,,,,
4.68,13.0,1.0,0.0,14.0,17.0,36.0,GREEN,NO,,,,
4.76,13.0,0.0,1.0,14.0,18.0,18.0,GREEN,NO,,,,
10.38,12.0,1.0,0.0,13.0,17.0,32.0,GREEN,NO,,,,
